Duration (in seconds),Experimenter,ResponseId,Intro + Consent,Q64,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Post Q1_1,Post Q1_2,Speed,Post Q2,SC0
764,Team,R_28SNzCo0RORADv2,"I consent, begin the study",,Left atrium,"It squeezes their legs together, which increases the systemic resistance of all the arteries in their body",I do not know,I do not know,"Cyanotic, because there is a lack of blue blood",Because of pulmonary stenosis,The name of the physician who named the disease,Stenosis restricts blood flow to the pulmonary and blood follows the easiest path,How hard is it to pump blood,The narrowing of the pulmonary valve,4,lack of oxygen,squat,boot,No knowledge at all,No knowledge at all,2.0x speed,Khoury,9
638,Team,R_3VJYsP2SQaYGBrP,"I consent, begin the study",,Right ventricle,"It squeezes their legs together, which increases the systemic resistance of all the arteries in their body",Muscles in the heart stop getting used and deteriorate over time,When the right ventricle of the heart grows to allow more blood to pump in,I do not know,I do not know,The name of the physician who named the disease,Stenosis restricts blood flow to the pulmonary and blood follows the easiest path,How blue the blood becomes,The narrowing of the pulmonary valve,2,There is not enough oxygen in it.,Squatting on the ground,I am not too sure,No knowledge at all,A little knowledge,2.0x speed,Khoury,6
538,Team,R_padF8unuaXkn4Ix,"I consent, begin the study",,Right atrium,Both A and C,Muscles in the heart are over exercised and becomes thicker,When the diameter of the vein grows to allow for more oxygen,"Cyanotic, because blue blood is being forced to the left",Because of pulmonary stenosis,The part of the heart that is being affected by the disease,Stenosis restricts blood flow to the pulmonary and blood follows the easiest path,How hard is it to pump blood,The narrowing of the pulmonary valve,4,idk,squat,idk,No knowledge at all,No knowledge at all,2.0x speed,Khoury,10
542,Team,R_1gRCVbsJmhBPEe7,"I consent, begin the study",,Right ventricle,I do not know,Muscles in the heart stop getting used and deteriorate over time,When the diameter of the vein grows to allow for more oxygen,I do not know,Because the blood is lacking oxygen,I do not know,The aorta lacks blood so the blood rushes to fill it in,I do not know,The narrowing of the pulmonary valve,4,I do not know,Squat,I do not know,No knowledge at all,No knowledge at all,2.0x speed,Khoury,5
603,Team,R_322tP3HH9px4BTk,"I consent, begin the study",,Right atrium,Both A and C,Muscles in the heart are over exercised and becomes thicker,When the diameter of the vein grows to allow for more oxygen,"Cyanotic, because blue blood is being forced to the left",Because of pulmonary stenosis,A region in France where the disease was discovered,Stenosis restricts blood flow to the pulmonary and blood follows the easiest path,How blue the blood becomes,When the blood moving through the pulmonary valve flows more slowly than usual,"I don't know, my guess is 5","Because the oxygen pumped into the blood from the lungs is used by your body, and it goes back into your heart",I don't know,I don't know,No knowledge at all,A little knowledge,2.0x speed,Khoury,7
657,Team,R_DTwXWzS5DenBkqt,"I consent, begin the study",,Right ventricle,Both A and C,Muscles in the heart are over exercised and becomes thicker,I do not know,I do not know,I do not know,The name of the physician who named the disease,Stenosis restricts blood flow to the pulmonary and blood follows the easiest path,How blue the blood becomes,I do not know,4,Lack of oxygen,Squat after running around,I don't know,No knowledge at all,No knowledge at all,2.0x speed,Khoury,8
1639,Team,R_1NE6mODFlJcWyLJ,"I consent, begin the study",,Left atrium,Both A and C,Muscles in the heart are over exercised and becomes thicker,When the diameter of the vein grows to allow for more oxygen,I do not know,I do not know,I do not know,Stenosis restricts blood flow to the pulmonary and blood follows the easiest path,How blue the blood becomes,I do not know,4,it is dexoygenated,squat,a boot ???,No knowledge at all,A little knowledge,2.0x speed,Khoury,8
307,Team,R_25Ed5LtU98TUL6E,"I consent, begin the study",,Right ventricle,"It squeezes their legs together, which increases the systemic resistance of all the arteries in their body",Muscles in the heart are over exercised and becomes thicker,I do not know,I do not know,Because the blood is lacking oxygen,The name of the physician who named the disease,"The defects are in the aorta, allowing more blood to flow in",I do not know,The narrowing of the pulmonary valve,4,no oxygen,?,boot,No knowledge at all,A little knowledge,2.0x speed,Khoury,7
518,Team,R_1mxBPEZQ18wQhUC,"I consent, begin the study",,I do not know,I do not know,Muscles in the heart are over exercised and becomes thicker,I do not know,I do not know,I do not know,I do not know,I do not know,I do not know,I do not know,idk,less oxygenated but i already knew that,idk,"square, rectangle? idk",No knowledge at all,A little knowledge,2.0x speed,Khoury,2
849,Team,R_21FYVo5Ga1oJv7u,"I consent, begin the study",,Right ventricle,"It squeezes their legs together, which increases the systemic resistance of all the arteries in their body",Muscles in the heart are over exercised and becomes thicker,When the diameter of the vein grows to allow for more oxygen,"Cyanotic, because blue blood is being forced to the left",Because of vasodilation of the veins,The name of the physician who named the disease,"The defects are in the aorta, allowing more blood to flow in",How hard is it to pump blood,The narrowing of the pulmonary valve,4,oxygen depleted by body,squat,boot,A little knowledge,Some knowledge,2.0x speed,Khoury,11
